id,nombre,alcance,pais,cultivos,enfermedades,imagenes,anotacion,formato,licencia,url_principal,url_descarga,metodo_descarga,uso_entrenamiento,prioridad,estado,notas
DS01,Colombian Coffee Tree Leaves Multispectral,Nacional - Colombia,Colombia,Café (Coffea arabica),Roya / Coffee Leaf Rust (Hemileia vastatrix),"6,726",Clasificación binaria Rust/NoRust; hoja segmentada/máscara de fondo implícita,"JPG RGB + TIF multiespectral (Blue, Green, Red, Red Edge, NIR)",CC BY 4.0,https://www.kaggle.com/ds/5644659,https://www.kaggle.com/ds/5644659,Kaggle API / descarga ZIP,Fine-tuning prioritario para roya de café; opción futura de modelo RGB+multiespectral,P0 - Crítica,Verificado,"Fuente colombiana; imágenes RGB y cinco bandas TIF; artículo indica 6,726 imágenes."
DS02,CocoaMoniliaDataSet v2,Nacional - Colombia,Colombia,Cacao,"Monilia (Moniliophthora roreri): sano, m1, m2, m3","1,953",Polígonos; detección; segmentación; severidad por etapa visual,COCO 1.0 + YOLO + máscaras PNG,CC BY 4.0,https://zenodo.org/records/17716661,https://zenodo.org/records/17716661/files/CocoaMoniliaDataSet.zip?download=1,wget/curl/Zenodo REST,Modelo cacao; detección + segmentación + severidad temprana de Monilia,P0 - Crítica,Verificado,Incluye train/test/val y anotaciones en múltiples formatos.
DS03,Coffee Leaf Disease Dataset - Uganda,Internacional,Uganda,Café,Sana; Roya; Phoma,"3,312",Clasificación por carpeta/clase,JPEG 256x256,CC BY 4.0,https://data.mendeley.com/datasets/k36wnd6knb/1,https://data.mendeley.com/datasets/k36wnd6knb/1,Mendeley Data - Download All,Fine-tuning y validación de generalización internacional para café,P1 - Alta,Verificado,Capturas de finca con smartphone y distintas condiciones de iluminación.
DS04,Coffee Leaf Dataset by Phytosanitary Class - Saposoa,Internacional,Perú,Café (Coffea arabica),Sana; Roya; Mancha de café (Mycena citricolor),"1,500",Clasificación supervisada; 500 por clase,Imágenes digitales/JPEG (landing page),CC BY 4.0,https://data.mendeley.com/datasets/mfpxg4y65r/1,https://data.mendeley.com/datasets/mfpxg4y65r/1,Mendeley Data - Download All,Fine-tuning para café; contraste Colombia/Perú y clasificación multiclase,P1 - Alta,Verificado,Etiquetado confirmado por especialistas de sanidad vegetal.
DS05,JMuBEN,Internacional,Kenia,Café arábica,Sana; Phoma; Roya; Cercospora; Miner (minador),"22,591",Clasificación por carpetas/clases; imágenes recortadas y aumentadas,Imágenes (landing Mendeley; archivos de imagen),CC BY 4.0,https://data.mendeley.com/datasets/t2r6rszp5c/1,https://data.mendeley.com/datasets/t2r6rszp5c/1,Mendeley Data - Download All,Principal complemento internacional para café; clases Phoma/Cercospora/minador,P0 - Crítica,Verificado,"La ficha actualizada indica 22,591 imágenes; no usar la cifra antigua de 58,555."
DS06,RoCoLe - Robusta Coffee Leaf,Internacional,Ecuador,Café Robusta,Sana; Roya; Araña roja,"1,560",Clasificación; segmentación de hoja; severidad / área afectada,Imágenes de campo; anotaciones asociadas al dataset,CC BY 4.0,https://doi.org/10.17632/c5yvn32dzg.2,https://doi.org/10.17632/c5yvn32dzg.2,Mendeley Data DOI,"Campo real, severidad y segmentación; excelente validación para café",P0 - Crítica,Verificado,Cuatro imágenes por cada uno de 390 cafetos; tomadas con smartphone en condiciones reales.
DS07,PlantVillage,Internacional,Multipaís,14 cultivos,26 enfermedades + clases sanas,"54,306",Clasificación por clase; agrupamiento por hoja disponible,JPEG; dataset HF incluye configs y splits,CC BY-SA 3.0 (mirror oficial HF actual),https://huggingface.co/datasets/mohanty/PlantVillage,https://huggingface.co/datasets/mohanty/PlantVillage/resolve/main/data.zip,Hugging Face / Datasets API / ZIP,"Pretraining/base multicultivo, no usar como único benchmark de campo",P0 - Crítica,Verificado,La ficha de HF actual declara CC BY-SA 3.0 y 80/20 train/test respetando leaf grouping.
DS08,PlantVillageVQA,Internacional,Multipaís,14 cultivos,38 enfermedades,"55,448","193,609 pares pregunta-respuesta; percepción, verificación y razonamiento",JPEG + CSV/JSON QA,CC BY 4.0,https://huggingface.co/datasets/SyedNazmusSakib/PlantVillageVQA,https://huggingface.co/datasets/SyedNazmusSakib/PlantVillageVQA,Hugging Face Hub,VLM/VQA y capa de explicación agronómica visual; no sustituye detector supervisado,P1 - Alta,Verificado,Útil para respuestas descriptivas y grounding de síntomas.
DS09,PlantDoc,Internacional,Multipaís,13 especies,Hasta 17 clases de enfermedad + sanas,"2,598",Etiquetado de imágenes para clasificación y detección,Imágenes; dataset GitHub,CC BY 4.0,https://github.com/pratikkayal/PlantDoc-Dataset,https://github.com/pratikkayal/PlantDoc-Dataset,git clone / GitHub,Fine-tuning de campo real y prueba de robustez,P0 - Crítica,Verificado,"Condiciones reales, fondos variables; clave para cerrar la brecha lab->campo."
DS10,PlantWild v2,Internacional,Multipaís,Multicultivo,115 clases de enfermedad,"11,488",Clasificación; experto refinado; v2 disease-only,Imágenes + metadata; Hugging Face/Google Drive/UQRDM,CC BY-NC-ND 4.0,https://tqwei05.github.io/PlantWild/access_v2,https://huggingface.co/datasets/Voxel51/PlantWild,Hugging Face Hub; alternativa Google Drive/UQRDM,Robustez in-the-wild; fine-tuning y benchmark de dominio,P0 - Crítica,Verificado,"v2 actual: 11,488 imágenes, 115 clases; no confundir con v1 de 18,542/89."
